Column,Type
DONISCH,FLOAT
BICAVAL,BOOL
ATRIAL,BOOL
NOSIMORG,BOOL
LIVER,BOOL
OSIMORG,BOOL
TXBNP,FLOAT
TXEDP,FLOAT
TXSVCSAT,FLOAT
SIM_UNK,BOOL
TXCSTAT,FLOAT
TXHEMAGT,BOOL
TXEPINE,BOOL
TXVASOPR,BOOL
TECHUNK,BOOL
RDOBDOSE,BOOL
RDOPDOSE,BOOL
REC_EPI,BOOL
REC_ISO,BOOL
REC_MIL,BOOL
REC_NSYN,BOOL
REC_NES,BOOL
REC_NOX,BOOL
REC_NITR,BOOL
REC_NIPR,BOOL
REC_LEVO,BOOL
REC_PGE,BOOL
REC_PGI,BOOL
REC_PHEN,BOOL
REC_SILD,BOOL
REC_T3,BOOL
REC_T4,BOOL
REC_VPR,BOOL
ROPRDSC1,BOOL
DONORSEX,ENUM-STR
DRACE_W,BOOL
DRACE_B,BOOL
DRACE_AI,BOOL
DRACE_A,BOOL
DRACE_PI,BOOL
DRACE_O,BOOL
DRACE_UN,BOOL
DTX_PATIENT,BOOL
STATUS_LISTING,ENUM-STR
STATUS_TXPL,ENUM-STR
BSA_LISTING,FLOAT
HEIGHT_TXPL,FLOAT
WEIGHT_TXPL,FLOAT
BSA_TXPL,FLOAT
BMI_TXPL,FLOAT
HEIGHT_DONOR,FLOAT
WEIGHT_DONOR,FLOAT
BSA_DONOR,FLOAT
LSBILI_T_R,FLOAT
LSBILI_D_R,FLOAT
LCRP_R,FLOAT
LCREAT_R,FLOAT
LSPBNP_R,FLOAT
LBUN_R,FLOAT
LSTP_R,FLOAT
LSSAB_R,FLOAT
LSPALB_R,FLOAT
LCHOL_R,FLOAT
LTG_R,FLOAT
LLDL_R,FLOAT
LHDL_R,FLOAT
LVLDL_R,FLOAT
TXBILI_T_R,FLOAT
TXBILI_D_R,FLOAT
TXCRP_R,FLOAT
TXCREAT_R,FLOAT
TXPBNP_R,FLOAT
TXBUN_R,FLOAT
TXTP_R,FLOAT
TXSA_R,FLOAT
TXPALB_R,FLOAT
TXCHOL_R,FLOAT
TXTG_R,FLOAT
TXLDL_R,FLOAT
TXHDL_R,FLOAT
TXVLDL_R,FLOAT
INT_DEAD,FLOAT
INT_DTX_PATIENT,FLOAT
WAITLIST_OUTCOME_INTERVAL,FLOAT
DIED_WO_TX,BOOL
WAITLIST_OUTCOME,ENUM-INT
DIAGNOSIS,ENUM-INT
eGFR_TXPL,FLOAT
LS_SURG_FONTAN,BOOL
LS_SURG_GLENN,BOOL
LS_SURG_NORWOOD_SHUNT,BOOL
LS_SURG_NORWOOD_SANO,BOOL
LS_SURG_HYBRID,BOOL
LS_SURG_SHUNT,BOOL
LS_SURG_ATRIAL_SWITCH,BOOL
LS_SURG_ASD_REPAIR,BOOL
LS_SURG_ATRIAL_SENNING,BOOL
LS_SURG_CABG,BOOL
LS_SURG_SV,BOOL
LS_SURG_TRANS,BOOL
LS_SURG_DOUBLE,BOOL
LS_SURG_DKS,BOOL
LS_SURG_D_TRANS,BOOL
LS_SURG_EBSTEIN,BOOL
LS_SURG_PA_BANDING,BOOL
LS_SURG_TOF,BOOL
LS_SURG_TRUNCUS,BOOL
LS_SURG_VALVE,BOOL
LS_SURG_VSD,BOOL
LS_SURG_OTHER,BOOL
GRAFT_LOSS,BOOL
INT_GRAFT_LOSS,FLOAT
LSNYHA_T,ENUM-STR
LSRHFCL_T,ENUM-STR
PATIENT_ID,INT
HETEROTAXY,BOOL
